name,medal_type,medal_date,gender,birth_date,country,discipline,event
XIAO Ruoteng,BRONZE,2024-07-31,MASCULINO,1996-01-30,China,Artistic Gymnastics,Men's All-Around
FOX Jessica,OURO,2024-07-31,FEMININO,1994-06-11,Australia,Canoe Slalom,Women's Canoe Single
LILIK Elena,PRATA,2024-07-31,FEMININO,1998-09-14,Germany,Canoe Slalom,Women's Canoe Single
LEIBFARTH Evy,BRONZE,2024-07-31,FEMININO,2004-01-26,United States,Canoe Slalom,Women's Canoe Single
TORRES GIL Jose,OURO,2024-07-31,MASCULINO,1995-03-28,Argentina,Cycling BMX Freestyle,Men's Park
REILLY Kieran Darren David,PRATA,2024-07-31,MASCULINO,2001-07-12,Great Britain,Cycling BMX Freestyle,Men's Park
JEANJEAN Anthony,BRONZE,2024-07-31,MASCULINO,1998-05-13,France,Cycling BMX Freestyle,Men's Park
DENG Yawen,OURO,2024-07-31,FEMININO,2005-10-17,China,Cycling BMX Freestyle,Women's Park
BENEGAS Perris,PRATA,2024-07-31,FEMININO,1995-07-22,United States,Cycling BMX Freestyle,Women's Park
DIEHM Natalya,BRONZE,2024-07-31,FEMININO,1997-09-23,Australia,Cycling BMX Freestyle,Women's Park
BEKAURI Lasha,OURO,2024-07-31,MASCULINO,2000-07-26,Georgia,Judo,Men -90 kg
MURAO Sanshiro,PRATA,2024-07-31,MASCULINO,2000-08-28,Japan,Judo,Men -90 kg
NGAYAP HAMBOU Maxime-Gael,BRONZE,2024-07-31,MASCULINO,2001-06-22,France,Judo,Men -90 kg
TSELIDIS Theodoros,BRONZE,2024-07-31,MASCULINO,1996-08-05,Greece,Judo,Men -90 kg
MATIC Barbara,OURO,2024-07-31,FEMININO,1994-12-03,Croatia,Judo,Women -70 kg
BUTKEREIT Miriam,PRATA,2024-07-31,FEMININO,1994-05-08,Germany,Judo,Women -70 kg
POLLERES Michaela,BRONZE,2024-07-31,FEMININO,1997-07-15,Austria,Judo,Women -70 kg
WILLEMS Gabriella,BRONZE,2024-07-31,FEMININO,1997-07-01,Belgium,Judo,Women -70 kg
RUANO OLIVA Adriana,OURO,2024-07-31,FEMININO,1995-06-26,Guatemala,Shooting,Trap Women
STANCO Silvana Maria,PRATA,2024-07-31,FEMININO,1993-01-06,Italy,Shooting,Trap Women
SMITH Penny,BRONZE,2024-07-31,FEMININO,1995-04-21,Australia,Shooting,Trap Women
PAN Zhanle,OURO,2024-07-31,MASCULINO,2004-08-04,China,Swimming,Men's 100m Freestyle
CHALMERS Kyle,PRATA,2024-07-31,MASCULINO,1998-06-25,Australia,Swimming,Men's 100m Freestyle
POPOVICI David,BRONZE,2024-07-31,MASCULINO,2004-09-15,Romania,Swimming,Men's 100m Freestyle
MARCHAND Leon,OURO,2024-07-31,MASCULINO,2002-05-17,France,Swimming,Men's 200m Breaststroke
STUBBLETY-COOK Zac,PRATA,2024-07-31,MASCULINO,1999-01-04,Australia,Swimming,Men's 200m Breaststroke
CORBEAU Caspar,BRONZE,2024-07-31,MASCULINO,2001-04-03,Netherlands,Swimming,Men's 200m Breaststroke
MARCHAND Leon,OURO,2024-07-31,MASCULINO,2002-05-17,France,Swimming,Men's 200m Butterfly
MILAK Kristof,PRATA,2024-07-31,MASCULINO,2000-02-20,Hungary,Swimming,Men's 200m Butterfly
KHARUN Ilya,BRONZE,2024-07-31,MASCULINO,2005-02-07,Canada,Swimming,Men's 200m Butterfly
